F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,Class
0.006711409,0,0.013422819,0.006711409,0,0.006711409,0.006711409,0.02013423,0.02013423,0,0,0,0.006711409,0.006711409,0.013422819,0.02013423,0,0.006711409,0.006711409,0,0.006711409,0.026845638,0.013422819,0.026845638,0,0.006711409,0,0,0,0.013422819,0,0,0,0,0,0,0,0,0,0,0.006711409,0,0,0.006711409,0,0,0,0,0,0.006711409,0,0.026845638,0.006711409,0,0,0.02013423,0.006711409,0,0,0.013422819,0.006711409,0.006711409,0.006711409,0.006711409,0.013422819,0,0,0,0,0,0,0,0,0,0,0.006711409,0.006711409,0,0.006711409,0.006711409,0,0,0,0.006711409,0.006711409,0,0,0.006711409,0,0,0.013422819,0.006711409,0,0.02013423,0,0,0.006711409,0.006711409,0.006711409,0,0.006711409,0.026845638,0.006711409,0,0.013422819,0,0.006711409,0.006711409,0,0,0,0.006711409,0,0,0,0,0,0.006711409,0,0,0,0,0.006711409,0.02013423,0.006711409,0,0.006711409,0,0,0,0.006711409,0,0.006711409,0.013422819,0,0,0.02013423,0.006711409,0,0.006711409,0,0.033557046,0,0,0,0,0,0,0.006711409,0,0.006711409,0,0.02013423,0,0.02013423,0,0.02013423,0,0.006711409,0,0.013422819,0.006711409,0.02013423,0.006711409,0.006711409,0,0,0,0.013422819,0.006711409,0,0,0.006711409,0,0.033557046,0,0,0.013422819,0.006711409,0,0,0.006711409,0,0,0.006711409,0,0.006711409,0,0.006711409,0,0,0.013422819,0,0.006711409,0.013422819,0.02013423,0.006711409,0,0.006711409,0,1
0,0,0,0.007246377,0,0,0,0.02173913,0.014492754,0,0,0.007246377,0,0.02173913,0.007246377,0.02173913,0.007246377,0,0.014492754,0,0,0.014492754,0.007246377,0.02173913,0,0,0,0,0,0.007246377,0.007246377,0.02173913,0.007246377,0.02173913,0.007246377,0,0.057971016,0,0,0,0.02173913,0,0,0,0.007246377,0,0,0.007246377,0.007246377,0,0,0,0.007246377,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0.007246377,0.007246377,0,0.036231883,0.007246377,0.007246377,0,0.007246377,0,0,0,0.007246377,0.007246377,0,0,0.014492754,0,0.007246377,0.014492754,0.014492754,0,0,0,0,0,0,0,0,0.028985508,0.007246377,0,0.007246377,0.014492754,0,0.007246377,0.007246377,0.007246377,0.007246377,0.02173913,0.014492754,0,0.007246377,0,0.007246377,0,0,0,0.014492754,0,0,0,0,0.007246377,0,0,0,0.014492754,0.014492754,0.014492754,0,0,0,0,0.014492754,0,0.007246377,0,0.007246377,0,0,0.05072464,0,0,0,0,0.007246377,0.014492754,0,0,0,0,0,0,0,0,0.007246377,0.007246377,0.007246377,0,0,0,0,0,0,0.007246377,0.014492754,0,0.007246377,0,0.007246377,0,0,0,0.014492754,0.007246377,0.007246377,0.007246377,0.007246377,0.014492754,0,0,0,0.007246377,0,0.007246377,0,0,0.014492754,0,0.007246377,0,0,0,0.014492754,0,0,0.007246377,0.007246377,0,0,0.014492754,0,0,0.007246377,0,1
0.011695907,0,0.005847953,0,0,0.005847953,0,0.03508772,0.01754386,0.01754386,0.005847953,0.005847953,0,0.01754386,0.005847953,0.011695907,0.005847953,0.005847953,0.011695907,0,0,0.01754386,0.005847953,0.01754386,0,0.005847953,0,0,0,0.005847953,0,0.005847953,0,0,0.011695907,0,0.029239766,0,0,0,0.011695907,0,0,0.005847953,0.005847953,0,0,0,0,0.005847953,0,0.005847953,0.005847953,0,0,0.005847953,0.005847953,0,0,0.005847953,0.005847953,0,0,0,0.005847953,0,0,0,0.005847953,0.011695907,0.005847953,0,0.005847953,0,0,0,0.005847953,0.005847953,0,0.011695907,0,0,0,0.011695907,0.005847953,0,0,0.005847953,0,0,0.005847953,0,0.005847953,0.011695907,0.005847953,0,0.01754386,0.005847953,0,0,0,0.01754386,0.005847953,0.005847953,0.046783626,0.005847953,0.011695907,0.005847953,0,0,0,0.011695907,0.011695907,0,0,0,0,0.005847953,0,0,0,0,0.011695907,0.005847953,0,0,0.005847953,0,0.005847953,0,0.005847953,0.005847953,0.005847953,0,0,0.023391813,0.005847953,0.005847953,0,0.005847953,0,0.023391813,0,0,0.005847953,0.005847953,0.005847953,0,0.011695907,0,0.011695907,0.011695907,0.005847953,0,0,0,0.005847953,0,0,0,0.011695907,0,0.029239766,0.011695907,0,0,0,0,0,0.005847953,0.005847953,0,0.005847953,0.005847953,0.01754386,0.011695907,0,0.011695907,0,0,0,0,0.011695907,0,0,0,0.01754386,0.005847953,0.011695907,0,0.005847953,0.005847953,0,0.005847953,0.011695907,0.03508772,0.005847953,0,0,0,1
0,0,0.020833334,0,0,0,0.010416667,0,0.020833334,0,0,0,0.03125,0.03125,0.010416667,0,0,0.010416667,0,0,0.010416667,0.020833334,0,0.010416667,0,0.010416667,0,0,0,0.010416667,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833334,0,0,0,0.03125,0,0,0,0.010416667,0,0.010416667,0.020833334,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0.03125,0,0,0.041666668,0,0,0,0,0.020833334,0,0,0,0,0,0.010416667,0.010416667,0,0,0,0,0,0,0.010416667,0,0,0.03125,0,0,0,0,0.03125,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833334,0,0.020833334,0.010416667,0,0,0.010416667,0.03125,0.010416667,0,0,0.03125,0,0,0,0,0,0,0.010416667,0,0,0,0,0.010416667,0.041666668,0,0.052083336,0,0,0,0.010416667,0,0.010416667,0,0,0,0.010416667,0,0.010416667,0.010416667,0,0.010416667,0,0,0.041666668,0,0,0,0.020833334,0,0,0,0,0,0.010416667,0,0.041666668,0,0.010416667,0,0,0.010416667,0,0,0.041666668,0,0,0,0,0,1
0,0,0.03448276,0,0,0,0,0,0.03448276,0,0,0,0,0.01724138,0,0,0,0,0.01724138,0,0.01724138,0.01724138,0,0,0,0,0,0,0,0,0,0.01724138,0,0,0.01724138,0,0,0,0,0,0.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724138,0,0,0,0,0,0,0.01724138,0,0.03448276,0,0,0,0,0,0,0,0,0,0,0,0.03448276,0,0,0.051724136,0,0,0,0,0,0,0,0,0,0,0,0.03448276,0,0.01724138,0,0,0,0,0,0.01724138,0,0.01724138,0,0.01724138,0,0,0.01724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724138,0,0,0,0.01724138,0,0.01724138,0,0,0,0,0,0,0.03448276,0.01724138,0,0,0.01724138,0,0,0,0,0,0,0.01724138,0,0.03448276,0,0,0,0.03448276,0,0.051724136,0,0,0,0,0,0.01724138,0,0,0,0,0,0,0,0,0,0,0,0.03448276,0.03448276,0,0,0,0,0,0,0.01724138,0,0,0,0,0,0.01724138,0,0.01724138,0.01724138,0,0,0.06896552,0,0,0,0,0,1
0,0,0.010526316,0,0.005263158,0,0.005263158,0.010526316,0.03157895,0.005263158,0.010526316,0,0,0.010526316,0,0.02631579,0,0,0.010526316,0,0,0.015789475,0,0.010526316,0,0.005263158,0,0,0,0.03157895,0.010526316,0,0.005263158,0,0.005263158,0,0.005263158,0.005263158,0.005263158,0,0.015789475,0,0,0,0.005263158,0,0,0,0.005263158,0,0,0,0,0,0,0,0,0.005263158,0,0.015789475,0.005263158,0,0.010526316,0.010526316,0.021052632,0.005263158,0,0,0,0.021052632,0.005263158,0,0.005263158,0.005263158,0,0.005263158,0.010526316,0.005263158,0.005263158,0.010526316,0.005263158,0,0,0,0.010526316,0,0,0.005263158,0.005263158,0.005263158,0,0.005263158,0.005263158,0.005263158,0.010526316,0.005263158,0.010526316,0.010526316,0,0,0.005263158,0.010526316,0.005263158,0.005263158,0,0,0.015789475,0.021052632,0,0,0.005263158,0,0,0,0,0.010526316,0,0,0.005263158,0,0,0.015789475,0.005263158,0.005263158,0,0,0,0,0,0.005263158,0,0,0.005263158,0,0,0.015789475,0.005263158,0.021052632,0,0.005263158,0,0.02631579,0,0,0,0,0.005263158,0,0,0,0.010526316,0,0.005263158,0.005263158,0.010526316,0,0.005263158,0,0.015789475,0,0.005263158,0,0.03157895,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0,0.005263158,0,0.021052632,0.015789475,0,0.015789475,0.015789475,0,0.005263158,0,0,0,0.010526316,0,0,0.005263158,0,0.005263158,0.005263158,0.010526316,0,0.005263158,0.005263158,0.005263158,0,0.005263158,0.005263158,0.021052632,0.02631579,0.010526316,0,1
0,0,0.009852217,0.019704433,0,0,0,0.004926108,0.009852217,0.009852217,0,0,0,0.014778325,0,0.009852217,0,0.009852217,0.004926108,0,0.004926108,0.014778325,0.02955665,0,0.009852217,0.009852217,0,0,0.004926108,0.014778325,0,0.004926108,0.004926108,0.004926108,0.004926108,0,0,0,0.004926108,0,0.004926108,0,0.014778325,0,0,0,0,0,0.004926108,0,0,0.004926108,0.019704433,0.004926108,0,0.019704433,0.004926108,0.004926108,0.004926108,0.009852217,0.004926108,0.009852217,0.009852217,0.014778325,0.014778325,0.009852217,0.004926108,0,0.004926108,0.009852217,0.009852217,0,0.009852217,0,0.004926108,0.014778325,0,0,0,0,0.004926108,0,0,0.009852217,0.009852217,0,0,0.004926108,0,0.014778325,0,0.009852217,0.009852217,0.004926108,0,0,0.004926108,0,0.009852217,0,0.004926108,0.019704433,0,0,0,0,0.004926108,0.009852217,0,0,0.014778325,0.004926108,0,0,0.004926108,0,0.004926108,0,0.009852217,0,0,0.004926108,0.009852217,0,0,0,0,0.004926108,0.004926108,0.004926108,0.019704433,0,0.004926108,0.009852217,0.004926108,0,0.004926108,0.009852217,0.004926108,0.009852217,0,0.004926108,0,0,0,0.004926108,0,0,0.004926108,0.004926108,0.019704433,0,0.024630541,0,0.004926108,0,0.009852217,0,0,0,0.009852217,0.004926108,0.004926108,0.004926108,0.004926108,0,0,0.009852217,0.014778325,0.004926108,0,0,0.004926108,0,0.009852217,0,0.004926108,0.004926108,0.014778325,0,0,0.024630541,0.004926108,0,0,0,0.009852217,0,0.02955665,0,0,0.019704433,0.004926108,0.009852217,0.004926108,0,0.009852217,0.009852217,0,0.004926108,1
0.006134969,0.006134969,0.012269938,0.006134969,0,0,0.006134969,0.012269938,0.036809817,0.006134969,0,0,0.006134969,0.012269938,0.012269938,0.006134969,0,0.006134969,0.012269938,0,0.006134969,0.030674845,0.012269938,0.036809817,0,0.006134969,0,0,0,0.006134969,0,0,0,0.006134969,0.006134969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018404908,0,0,0,0.012269938,0.006134969,0,0,0.012269938,0,0,0.006134969,0.012269938,0.012269938,0.006134969,0,0,0,0,0.012269938,0,0,0,0,0,0.006134969,0,0.006134969,0,0,0,0,0.006134969,0.012269938,0,0,0.006134969,0,0,0.018404908,0.006134969,0.006134969,0.024539877,0,0.006134969,0,0,0,0,0,0.024539877,0.006134969,0.006134969,0.012269938,0,0.006134969,0.012269938,0.012269938,0,0,0.012269938,0,0.006134969,0,0,0,0.006134969,0,0,0.006134969,0.012269938,0.012269938,0.006134969,0,0,0.006134969,0,0.006134969,0,0,0,0,0,0,0,0.012269938,0.012269938,0,0.006134969,0,0.024539877,0,0,0,0.006134969,0,0,0.006134969,0,0.006134969,0.006134969,0.018404908,0.006134969,0.006134969,0,0.018404908,0,0,0,0.012269938,0,0.030674845,0.006134969,0,0,0.012269938,0,0.012269938,0.006134969,0,0.006134969,0,0,0.024539877,0.006134969,0,0.012269938,0.012269938,0,0,0,0.006134969,0,0.006134969,0,0.018404908,0.006134969,0.012269938,0.006134969,0.006134969,0.006134969,0,0,0.018404908,0.024539877,0,0,0.012269938,0,1
0,0,0.016304348,0.010869565,0.010869565,0,0,0.010869565,0,0,0,0,0,0.02173913,0.005434783,0.010869565,0.005434783,0.027173914,0,0,0,0.005434783,0.06521739,0,0.010869565,0.02173913,0,0,0.005434783,0,0,0,0,0,0.005434783,0.005434783,0,0.016304348,0.016304348,0,0.005434783,0,0.02173913,0,0,0.016304348,0,0,0.010869565,0,0,0,0.005434783,0.005434783,0,0.010869565,0.016304348,0,0.005434783,0.005434783,0,0.005434783,0.005434783,0,0.005434783,0.010869565,0,0.005434783,0,0,0,0,0,0,0,0.005434783,0.016304348,0.005434783,0.010869565,0,0.005434783,0,0.005434783,0.010869565,0.010869565,0,0.005434783,0,0,0.048913043,0,0,0.005434783,0,0.005434783,0.016304348,0.005434783,0,0.010869565,0,0.010869565,0.005434783,0,0,0,0.02173913,0.010869565,0,0,0,0.016304348,0,0.005434783,0.010869565,0,0,0,0,0.005434783,0,0,0,0.005434783,0,0.02173913,0,0,0.005434783,0,0,0.02173913,0,0.005434783,0.010869565,0.010869565,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016304348,0.010869565,0.005434783,0.005434783,0.005434783,0,0,0,0,0,0,0,0,0.010869565,0.005434783,0.005434783,0,0.016304348,0,0.032608695,0,0,0.010869565,0,0.005434783,0,0,0,0,0,0.010869565,0,0.032608695,0.005434783,0.005434783,0,0,0,0,0.005434783,0,0.005434783,0.016304348,0,0,0,0,0.032608695,0,0,0,1
0,0,0.005813954,0.005813954,0,0.005813954,0,0.011627907,0.034883723,0.005813954,0.005813954,0,0,0.017441861,0.011627907,0,0,0.011627907,0.011627907,0,0,0.011627907,0,0.011627907,0,0.005813954,0,0,0,0.034883723,0.017441861,0,0.011627907,0,0.011627907,0,0,0,0.005813954,0,0.005813954,0,0,0,0,0,0,0,0.005813954,0,0.005813954,0.017441861,0.005813954,0.005813954,0,0.011627907,0.005813954,0.005813954,0.005813954,0.005813954,0.005813954,0,0.011627907,0.005813954,0.005813954,0.005813954,0,0,0,0,0.017441861,0,0.005813954,0,0,0,0.017441861,0.005813954,0.005813954,0.011627907,0.005813954,0,0,0.005813954,0.017441861,0,0,0.005813954,0,0.011627907,0.011627907,0.005813954,0.005813954,0.011627907,0.005813954,0,0.005813954,0,0,0,0,0.011627907,0,0,0.005813954,0,0.011627907,0.029069766,0,0,0,0.005813954,0,0,0,0.005813954,0,0.005813954,0,0,0,0.011627907,0.005813954,0.005813954,0,0,0,0,0,0,0,0.005813954,0.005813954,0.005813954,0,0.017441861,0.029069766,0.005813954,0.005813954,0.011627907,0,0.011627907,0,0,0.005813954,0,0,0,0,0,0,0,0.005813954,0,0.023255814,0,0.011627907,0,0.011627907,0,0,0,0.023255814,0.005813954,0,0,0.005813954,0.005813954,0.011627907,0.005813954,0,0.011627907,0.005813954,0,0.017441861,0.005813954,0.005813954,0.011627907,0.005813954,0,0,0.005813954,0.011627907,0,0,0,0.005813954,0.005813954,0.005813954,0,0.017441861,0.011627907,0,0,0.011627907,0.017441861,0.011627907,0.005813954,0,0,1
